,구분,도로명주소,위도,경도
0,업종명,영업소 주소(도로명),0.0,0.0
1,목욕장업,부산광역시 부산진구 가야대로703번가길 16 (당감동),0.0,0.0
2,목욕장업,부산광역시 부산진구 대학로 11-15 (가야동),0.0,0.0
3,목욕장업,부산광역시 부산진구 범양로 124 (양정동),0.0,0.0
4,목욕장업,부산광역시 부산진구 황령대로74번길 26 (전포동),0.0,0.0
5,목욕장업,부산광역시 부산진구 당감로16번길 48 (당감동),0.0,0.0
6,목욕장업,부산광역시 부산진구 경마장로 3 (범전동),0.0,0.0
7,목욕장업,부산광역시 부산진구 백양순환로164번길 19 (당감동),0.0,0.0
8,목욕장업,부산광역시 부산진구 양정로15번길 5 (양정동),0.0,0.0
9,목욕장업,부산광역시 부산진구 가야대로572번길 83 (가야동),0.0,0.0
10,목욕장업,부산광역시 부산진구 가야대로 653-1 (가야동),0.0,0.0
11,목욕장업,부산광역시 부산진구 백양대로34번길 20 (부암동),0.0,0.0
12,목욕장업,부산광역시 부산진구 성지로61번길 17 (연지동),0.0,0.0
13,목욕장업,부산광역시 부산진구 초읍천로108번길 74 (초읍동),0.0,0.0
14,목욕장업,부산광역시 부산진구 백양순환로 12 (당감동),0.0,0.0
15,목욕장업,부산광역시 부산진구 새싹로 60-1 (범전동),0.0,0.0
16,목욕장업,부산광역시 부산진구 동평로229번길 5 (연지동),0.0,0.0
17,목욕장업,부산광역시 부산진구 동성로118번길 8 (전포동),0.0,0.0
18,목욕장업,부산광역시 부산진구 당감로64번길 51 (부암동),0.0,0.0
19,목욕장업,부산광역시 부산진구 동평로275번길 30 (연지동),0.0,0.0
20,목욕장업,부산광역시 부산진구 당감로10번길 8 (당감동),0.0,0.0
21,목욕장업,부산광역시 부산진구 동평로127번길 16 (부암동),0.0,0.0
22,목욕장업,부산광역시 부산진구 당감로17번길 71 (당감동),0.0,0.0
23,목욕장업,부산광역시 부산진구 황령대로18번길 43 (범천동),0.0,0.0
24,목욕장업,부산광역시 부산진구 양성로 12 (범전동),0.0,0.0
25,목욕장업,부산광역시 부산진구 서면문화로 48 (부전동),0.0,0.0
26,목욕장업,부산광역시 부산진구 부전로 193-1 (부전동),0.0,0.0
27,목욕장업,부산광역시 부산진구 부전로 193-1 (부전동),0.0,0.0
28,목욕장업,부산광역시 부산진구 범전로19번길 28 (부전동),0.0,0.0
29,목욕장업,부산광역시 부산진구 성지로83번길 36 (초읍동),0.0,0.0
30,목욕장업,부산광역시 부산진구 냉정로161번길 21-6 (개금동),0.0,0.0
31,목욕장업,부산광역시 부산진구 신천대로204번길 19-5 (부암동),0.0,0.0
32,목욕장업,부산광역시 부산진구 연지로13번길 5 (연지동),0.0,0.0
33,목욕장업,부산광역시 부산진구 엄광로 60 (개금동),0.0,0.0
34,목욕장업,부산광역시 부산진구 신암로83번길 36 (범천동),0.0,0.0
35,목욕장업,부산광역시 부산진구 당감서로 120-3 (당감동),0.0,0.0
36,목욕장업,부산광역시 부산진구 가야대로668번가길 5 (가야동),0.0,0.0
37,목욕장업,부산광역시 부산진구 진사로67번길 9 (개금동),0.0,0.0
38,목욕장업,부산광역시 부산진구 성지로74번길 78-1 (초읍동),0.0,0.0
39,목욕장업,부산광역시 부산진구 백양대로60번길 66 (당감동),0.0,0.0
40,목욕장업,부산광역시 부산진구 양정로 25 (양정동),0.0,0.0
41,목욕장업,부산광역시 부산진구 신암로135번가길 13 (범천동),0.0,0.0
42,목욕장업,부산광역시 부산진구 성지로104번길 59 (초읍동),0.0,0.0
43,목욕장업,부산광역시 부산진구 당감로 35 (당감동),0.0,0.0
44,목욕장업,부산광역시 부산진구 복지로13번길 67-10 (개금동),0.0,0.0
45,목욕장업,부산광역시 부산진구 성지로153번길 124 (초읍동),0.0,0.0
46,목욕장업,부산광역시 부산진구 동평로95번길 4 (당감동),0.0,0.0
47,목욕장업,부산광역시 부산진구 백양관문로77번길 105 (개금동),0.0,0.0
48,목욕장업,부산광역시 부산진구 가야대로589번길 56 (당감동),0.0,0.0
49,목욕장업,"부산광역시 부산진구 가야대로 772 (부전동, 6층 7층 일부)",0.0,0.0
50,목욕장업,부산광역시 부산진구 개금본동로 39 (개금동),0.0,0.0
51,목욕장업,부산광역시 부산진구 당감로 104 (부암동),0.0,0.0
52,목욕장업,부산광역시 부산진구 시민공원로74번길 7 (범전동),0.0,0.0
53,목욕장업,부산광역시 부산진구 거제대로23번길 15-9 (양정동),0.0,0.0
54,목욕장업,부산광역시 부산진구 백양대로320번길 18 (개금동),0.0,0.0
55,목욕장업,부산광역시 부산진구 가야공원로38번길 68 (가야동),0.0,0.0
56,목욕장업,부산광역시 부산진구 성지곡로12번길 20 (초읍동),0.0,0.0
57,목욕장업,부산광역시 부산진구 자유평화로37번길 15-19 (범천동),0.0,0.0
58,목욕장업,부산광역시 부산진구 진남로356번길 75 (전포동),0.0,0.0
59,목욕장업,부산광역시 부산진구 초읍천로 113-3 (초읍동),0.0,0.0
60,목욕장업,부산광역시 부산진구 당감서로98번길 3 (당감동),0.0,0.0
61,목욕장업,부산광역시 부산진구 엄광로 249-1 (가야동),0.0,0.0
62,목욕장업,부산광역시 부산진구 개금본동로4번길 66 (개금동),0.0,0.0
63,목욕장업,부산광역시 부산진구 전포대로246번길 35 (전포동),0.0,0.0
64,목욕장업,부산광역시 부산진구 새싹로 201 (초읍동),35.1814534,129.0473602
65,목욕장업,부산광역시 부산진구 자유평화로3번길 14-16 (범천동),0.0,0.0
66,목욕장업,부산광역시 부산진구 진남로 525 (양정동),0.0,0.0
67,목욕장업,부산광역시 부산진구 양정로10번길 5 (양정동),0.0,0.0
68,목욕장업,부산광역시 부산진구 동성로112번나길 5 (전포동),0.0,0.0
69,목욕장업,"부산광역시 부산진구 냉정로178번길 21, 캐슬사우나 (개금동)",0.0,0.0
70,목욕장업,부산광역시 부산진구 가야공원로63번길 33-7 (가야동),0.0,0.0
71,목욕장업,부산광역시 부산진구 중앙대로 786 (전포동),0.0,0.0
72,목욕장업,부산광역시 부산진구 신천대로 122 (부전동),0.0,0.0
73,목욕장업,부산광역시 부산진구 중앙대로969번길 11 (양정동),0.0,0.0
74,목욕장업,"부산광역시 부산진구 동평로 350, 양정현대프라자 지하2층 201호 (양정동)",0.0,0.0
75,목욕장업,부산광역시 부산진구 개금온정로 5 (개금동),0.0,0.0
76,목욕장업,부산광역시 부산진구 전포대로 162 (전포동),0.0,0.0
77,목욕장업,부산광역시 부산진구 중앙대로909번길 25 (양정동),0.0,0.0
78,목욕장업,부산광역시 부산진구 백양산로53번길 24 (부암동),0.0,0.0
79,목욕장업,"부산광역시 부산진구 중앙대로 777, 서면호텔 복합시설 3층 (부전동)",0.0,0.0
80,목욕장업,"부산광역시 부산진구 동평로 269, 2층 201호 (연지동, 연지우성스마트시티뷰)",0.0,0.0
81,목욕장업,"부산광역시 부산진구 새싹로 50-1, 지하1층 (부전동)",0.0,0.0
